Model;Epochs;Learning Rate;Accuracy;Parameters;Time[min];Amount;Train Losses;Test Losses
PreActResNet18; 10; 0.00; 71.3; 11217316; 9.866038306554158; 0.3; [1.9904275613950753, 1.5570172606869073, 1.387084735561012, 1.2585236402711117, 1.1472304808124851, 1.0597649434020102, 0.9870099859480208, 0.9179713865044936, 0.8578626243677646, 0.8025459579680108]; [1.6064044469461654, 1.4648452349745047, 1.2969882168328037, 1.2355449513886303, 1.0885758935072172, 1.21389925575104, 0.9808217466067963, 0.9455753356313553, 0.8578201473330538, 0.8200331097974564]
PreActResNet18; 10; 0.05; 86.94; 11217316; 9.808331561088561; 0.3; [1.490135230205033, 0.9610514623838133, 0.7465332468503267, 0.6264657719979588, 0.55283036923378, 0.4856659817084508, 0.44668765462367716, 0.40351218826024865, 0.37106658333837417, 0.34898134549544624]; [1.1995318754793356, 1.289293007157481, 1.490989055115575, 0.681516817964304, 0.6884772750421073, 0.6703321669286433, 0.6273233659160785, 0.4021038050278307, 0.4807295258433674, 0.5025746483867541]
PreActResNet18; 10; 0.05; 87.18; 11217316; 9.941080327828725; 0.3; [1.4821592247875088, 0.9664919141653785, 0.7581494256272502, 0.6354817669273796, 0.5592149306262676, 0.4988932671527106, 0.4470269789040966, 0.4148003573905407, 0.37568767090886357, 0.350544738036867]; [1.4892315917883436, 0.8509443611763536, 1.076473132204324, 0.7754611552904208, 0.5701237753414499, 0.6727585923938325, 0.49276811208207005, 0.4854709008536019, 0.594064145304334, 0.3813673995982725]
PreActResNet18; 10; 0.05; 83.78; 11217316; 9.787304834524791; 0.3; [1.5077647378790935, 0.9725334121299263, 0.7579828859881873, 0.6394761153618952, 0.5565071599516286, 0.49634180822655777, 0.4471869971257559, 0.4107499328213705, 0.3752401140533383, 0.3484727541843974]; [1.34421365615278, 1.1268945794326428, 0.8675620704413222, 0.8945697798325231, 0.5590653508282698, 0.6161830838495931, 0.6889785415353105, 0.5420786643656679, 0.5244397646940935, 0.5211280574218724]

PreActResNet18; 10; 0.05; 85.15; 11217316; 9.855233709017435; 0.2; [1.4734416587262755, 0.9561688193737965, 0.74706909798386, 0.631238591095155, 0.5562462344698927, 0.49306534422336296, 0.444836022252466, 0.4042170857790183, 0.37614889327324663, 0.34628317237224476]; [1.574769240598709, 0.9448886975503197, 0.7766811500151698, 0.7886747744993661, 0.5843669123733386, 0.9885822315566456, 0.5096915545650184, 0.6410902525289371, 0.4633168259891458, 0.48490154721771184]
PreActResNet18; 10; 0.05; 86.84; 11217316; 9.92381432056427; 0.3; [1.513255713730383, 0.9738067903544608, 0.7499433450605804, 0.6383659331770334, 0.552806312224267, 0.4927935446549972, 0.44430667869579843, 0.406000999406085, 0.3743677213335182, 0.34485782555382527]; [1.6883011827834498, 1.1982253222419812, 0.8679396679607062, 0.736853294955275, 0.6899304750818795, 0.5556916939421964, 0.5683815236480091, 0.808663041066057, 0.3909364973608488, 0.43179013318242354]
PreActResNet18; 10; 0.05; 85.46; 11217316; 9.862406301498414; 0.4; [1.5065844782407056, 0.9787074520049458, 0.7594809486403804, 0.6351558281798738, 0.5592332411073601, 0.4973594651474681, 0.44917939693183756, 0.41102793020740275, 0.3784473764204247, 0.34788995468065437]; [1.4747100927578374, 0.8648536047234703, 0.7733384191799468, 0.6191006603713234, 0.7541978266387702, 0.5170293139954345, 0.473564791317565, 0.43555406064461594, 0.5075302806715615, 0.5319274374590324]
PreActResNet18; 10; 0.05; 86.41; 11217316; 9.924146219094593; 0.5; [1.502424237252197, 0.9775071208170417, 0.7586147182657409, 0.6405137450227506, 0.5575745551443527, 0.4936756591288157, 0.4491687329892386, 0.4104526592531764, 0.38112550835653675, 0.3528427319101851]; [1.1933777465607032, 0.9697922764304346, 0.8292395025015639, 0.705927872714905, 0.5934028804968721, 0.5415434000638727, 0.5470578178715783, 0.5286455160131851, 0.6924557961499729, 0.41385784235815654]
PreActResNet18; 10; 0.05; 84.66; 11217316; 9.874519141515096; 0.6; [1.495567235173282, 0.9723380724169548, 0.7585923870976583, 0.6427650964000785, 0.5569721189204195, 0.49816587701754467, 0.4507577769548864, 0.4097271207588953, 0.3779436758196819, 0.3517330080194498]; [1.793021295398188, 0.9120683059715234, 1.2690273011073518, 0.6374880169717648, 0.6834091589378473, 0.9077634703808318, 0.4645518950237253, 0.4983868703436547, 0.5776503018725413, 0.5174757978096366]
PreActResNet18; 10; 0.05; 85.63; 11217316; 9.911087044080098; 0.7; [1.4798303527932708, 0.9545195230252455, 0.7477009855377621, 0.6280770482482319, 0.5506158076317281, 0.49388299549686093, 0.44623553790318915, 0.40693576296437495, 0.37030506589267015, 0.34491161938687587]; [1.3869764890533667, 0.9570827526025498, 0.8553700783191779, 0.8316985741257668, 0.5903389025896121, 0.8110254758272689, 0.4822437809155391, 0.4316285949605056, 0.5504743311875544, 0.5167207113279703]
PreActResNet18; 10; 0.05; 84.98; 11217316; 9.86403614282608; 0.8; [1.5132915143850745, 0.984237598080095, 0.7664404469694148, 0.6447673901314928, 0.5662804585443577, 0.49804579167700086, 0.44736959534248555, 0.4084274226219244, 0.38063281280198924, 0.35388000910089934]; [1.520336561500074, 1.1773934187218784, 0.8192813868720692, 0.5944918834458525, 0.6369824704651634, 0.5543535440065228, 0.5750292953782188, 0.5586282412845868, 0.469371232385643, 0.4721631742418764]

